Период,Запрос,Число запросов
"август 2023","защита сайта","55041"
"сентябрь 2023","защита сайта","57694"
"октябрь 2023","защита сайта","67371"
"ноябрь 2023","защита сайта","65949"
"декабрь 2023","защита сайта","66064"
"январь 2024","защита сайта","69066"
"февраль 2024","защита сайта","67051"
"март 2024","защита сайта","64681"
"апрель 2024","защита сайта","70420"
"май 2024","защита сайта","62252"
"июнь 2024","защита сайта","56440"
"июль 2024","защита сайта","59316"
"август 2024","защита сайта","55075"
"сентябрь 2024","защита сайта","60067"
"октябрь 2024","защита сайта","73245"
"ноябрь 2024","защита сайта","66001"
"декабрь 2024","защита сайта","71046"
"январь 2025","защита сайта","69476"
"февраль 2025","защита сайта","70212"
"март 2025","защита сайта","67434"
"апрель 2025","защита сайта","68459"
"май 2025","защита сайта","56355"
"июнь 2025","защита сайта","55368"
"июль 2025","защита сайта","60389"
"август 2023","анализ защищенности информационных систем","83"
"сентябрь 2023","анализ защищенности информационных систем","178"
"октябрь 2023","анализ защищенности информационных систем","243"
"ноябрь 2023","анализ защищенности информационных систем","207"
"декабрь 2023","анализ защищенности информационных систем","227"
"январь 2024","анализ защищенности информационных систем","154"
"февраль 2024","анализ защищенности информационных систем","175"
"март 2024","анализ защищенности информационных систем","214"
"апрель 2024","анализ защищенности информационных систем","184"
"май 2024","анализ защищенности информационных систем","240"
"июнь 2024","анализ защищенности информационных систем","129"
"июль 2024","анализ защищенности информационных систем","98"
"август 2024","анализ защищенности информационных систем","83"
"сентябрь 2024","анализ защищенности информационных систем","159"
"октябрь 2024","анализ защищенности информационных систем","232"
"ноябрь 2024","анализ защищенности информационных систем","187"
"декабрь 2024","анализ защищенности информационных систем","296"
"январь 2025","анализ защищенности информационных систем","168"
"февраль 2025","анализ защищенности информационных систем","210"
"март 2025","анализ защищенности информационных систем","220"
"апрель 2025","анализ защищенности информационных систем","175"
"май 2025","анализ защищенности информационных систем","254"
"июнь 2025","анализ защищенности информационных систем","148"
"июль 2025","анализ защищенности информационных систем","113"
"август 2023","защита сайта от ддос атак","23"
"сентябрь 2023","защита сайта от ддос атак","52"
"октябрь 2023","защита сайта от ддос атак","37"
"ноябрь 2023","защита сайта от ддос атак","51"
"декабрь 2023","защита сайта от ддос атак","36"
"январь 2024","защита сайта от ддос атак","29"
"февраль 2024","защита сайта от ддос атак","61"
"март 2024","защита сайта от ддос атак","69"
"апрель 2024","защита сайта от ддос атак","100"
"май 2024","защита сайта от ддос атак","30"
"июнь 2024","защита сайта от ддос атак","17"
"июль 2024","защита сайта от ддос атак","24"
"август 2024","защита сайта от ддос атак","38"
"сентябрь 2024","защита сайта от ддос атак","26"
"октябрь 2024","защита сайта от ддос атак","30"
"ноябрь 2024","защита сайта от ддос атак","39"
"декабрь 2024","защита сайта от ддос атак","29"
"январь 2025","защита сайта от ддос атак","31"
"февраль 2025","защита сайта от ддос атак","49"
"март 2025","защита сайта от ддос атак","44"
"апрель 2025","защита сайта от ддос атак","45"
"май 2025","защита сайта от ддос атак","29"
"июнь 2025","защита сайта от ддос атак","34"
"июль 2025","защита сайта от ддос атак","48"
"август 2023","защита сайтов от ддос","44"
"сентябрь 2023","защита сайтов от ддос","85"
"октябрь 2023","защита сайтов от ддос","82"
"ноябрь 2023","защита сайтов от ддос","101"
"декабрь 2023","защита сайтов от ддос","64"
"январь 2024","защита сайтов от ддос","80"
"февраль 2024","защита сайтов от ддос","107"
"март 2024","защита сайтов от ддос","138"
"апрель 2024","защита сайтов от ддос","124"
"май 2024","защита сайтов от ддос","73"
"июнь 2024","защита сайтов от ддос","39"
"июль 2024","защита сайтов от ддос","58"
"август 2024","защита сайтов от ддос","79"
"сентябрь 2024","защита сайтов от ддос","71"
"октябрь 2024","защита сайтов от ддос","69"
"ноябрь 2024","защита сайтов от ддос","92"
"декабрь 2024","защита сайтов от ддос","133"
"январь 2025","защита сайтов от ддос","104"
"февраль 2025","защита сайтов от ддос","86"
"март 2025","защита сайтов от ддос","79"
"апрель 2025","защита сайтов от ддос","110"
"май 2025","защита сайтов от ддос","76"
"июнь 2025","защита сайтов от ддос","64"
"июль 2025","защита сайтов от ддос","72"
"август 2023","ddos защита сайта","210"
"сентябрь 2023","ddos защита сайта","241"
"октябрь 2023","ddos защита сайта","153"
"ноябрь 2023","ddos защита сайта","172"
"декабрь 2023","ddos защита сайта","184"
"январь 2024","ddos защита сайта","199"
"февраль 2024","ddos защита сайта","293"
"март 2024","ddos защита сайта","163"
"апрель 2024","ddos защита сайта","198"
"май 2024","ddos защита сайта","294"
"июнь 2024","ddos защита сайта","206"
"июль 2024","ddos защита сайта","183"
"август 2024","ddos защита сайта","241"
"сентябрь 2024","ddos защита сайта","239"
