source_page,link_url,link_text,matched_domain,checked_at
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","https://ddos-guard.net/?affiliate=233605","Подключить","ddos-guard.net","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","Защита от DDoS-атак с DDoS-Guard","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","Защитите свой магазин от DDoS-атак вместе
с компанией DDoS-Guard.","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","Защита от DDoS-атак c DDoS-Guard","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","DDoS-Guard занимается защитой сайтов уже более 10 лет. Огромный опыт и использование передовых технологий делает DDoS-Guard одной из лучших компаний в этой сфере.","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","DDoS-Guard – это:","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","Предоставление защищенных NS-серверов DDoS-Guard для хранения DNS-записей. Бесплатный хостинг с полным доступом к управлению.","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","Автоматическое распределение трафика между несколькими серверами DDoS-Guard. Это необходимо для снижения нагрузки на сайт и позволяет создать отказоустойчивую систему.","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","DDoS-GUARD","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","DDoS-Guard: интеграция защиты от DDoS-атак (ддос) для сайта
на платформе CS-Cart и
CS-Cart Multi-Vendor","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/zaschita-ot-ddos-atak-s-ddos-guard/","Нет ссылки","(function(_, $) {

    _.tr({
        sku: 'КОД',
        copied: 'Скопировано',
        cannot_buy: 'Невозможно купить этот товар с выбранными вариантами опций',
        no_products_selected: 'Товары не выбраны',
        error_no_items_selected: 'Нет выбранных элементов! Для выполнения этого действ","текстовое упоминание","2026-03-19T16:11:42.850Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","https://ddos-guard.net/?affiliate=233605","","ddos-guard.net","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","Защита сайта от DDoS-атак сервисом DDoS-Guard для CS-Cart и CS-Cart Multi-Vendor","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","ЗАЩИТА САЙТА ОТ DDOS-АТАК СЕРВИСОМ DDOS-GUARD ДЛЯ CS-CART И CS-CART MULTI-VENDOR","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","DDOS-GUARD: ИНТЕГРАЦИЯ ЗАЩИТЫ ОТ DDOS-АТАК (ДДОС) ДЛЯ САЙТА CS-CART И  MULTI-VENDOR","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","DDoS-Guard – один из лучших сервисов по защите сайтов от DDoS-атак","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","Компания DDoS-Guard предлагает свои услуги клиентам уже более 10 лет. В своей работе использует собственные передовые разработки, основанные на алгоритмах машинного обучения.","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","Сервис DDoS-Guard гарантирует защиту от всех известных видов DDoS-атак, увеличивает скорость отдачи контента и устраняет злонамеренную активность ботов.","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","DDoS-Guard – это доступная аналитика в реальном времени, круглосуточный мониторинг подозрительной активности и эффективные методы фильтрации трафика.","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","ИНТЕГРАЦИЯ DDOS-GUARD В ИНТЕРНЕТ-МАГАЗИН CS-CART ИЛИ МАРКЕТПЛЕЙС НА CS-CART MULTI-VENDOR","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","Мы разработали модуль, интегрирующий личный кабинет DDoS-Guard в ваш сайт. Вы сможете управлять защитой своего магазина, получать уведомления и просматривать отчеты непосредственно из административной панели вашего сайта, не переходя на сайт DDoS-Guard.","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","DNS-хостинг: бесплатное размещение DNS-записей на защищенных NS-серверах DDoS-Guard с полным доступом к управлению.","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","Регистрируйтесь на DDoS-Guard через наш модуль, и получите бонус в размере стоимости первого месяца обслуживания на свой счет в Maurisweb. Вы сможете использовать этот бонус на покупку любых новых модулей от нашей веб-студии.","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","{""@context"":""http:\/\/schema.org\/"",""@type"":""http:\/\/schema.org\/Product"",""name"":""\u0417\u0430\u0449\u0438\u0442\u0430 \u0441\u0430\u0439\u0442\u0430 \u043e\u0442 DDoS-\u0430\u0442\u0430\u043a \u0441\u0435\u0440\u0432\u0438\u0441\u043e\u043c DDoS-Guard \u0434\u043b\u044f CS-Cart \u0438 CS-Cart Mult","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","(function (w, _, $) {
            $(document).ready(function () {
                w.dataLayerYM.push({
                    ""ecommerce"": {
                        ""detail"": {
                            ""products"": [
                                {
                                    ""id"": 20561,
 ","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/product/zaschita-sayta-ot-ddos-atak/","Нет ссылки","{""@context"":""http:\/\/schema.org"",""@type"":""BreadcrumbList"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""name"":""\u0413\u043b\u0430\u0432\u043d\u0430\u044f"",""item"":""https:\/\/maurisweb.ru\/""},{""@type"":""ListItem"",""position"":2,""name"":""\u041f\u0440\u043e\u0433\u0440\u0430\u043c\u043c\u044b"",""item","текстовое упоминание","2026-03-19T16:11:45.935Z"
"https://maurisweb.ru/marketpleys-enterprise-all-inclusive-dbs-fbs-fbo-fbo-saas-fgd-fds/","Нет ссылки","Защита от DDoS-атак сервисом DDoS-Guard","текстовое упоминание","2026-03-19T16:11:49.204Z"
"https://maurisweb.ru/marketpleys-ecommerce-dbs/","Нет ссылки","Защита от DDoS-атак сервисом DDoS-Guard","текстовое упоминание","2026-03-19T16:11:52.824Z"
"https://maurisweb.ru/magazin-1/","Нет ссылки","DDoS-Guard – самая крупная российская компания по защите сайта от DDoS-атак. Разработана автоматизация управления нагрузкой и защитой для маркетплейсов и интернет-магазинов.","текстовое упоминание","2026-03-19T16:11:55.810Z"
